web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639398746-1598;https://www.sociolla.com/2303-mask?page=15;;https://www.sociolla.com/sheet-mask/11086-airy-fit-sheet-mask-rice-5pc-set;Missha;Airy Fit Sheet Mask Rice 5Pc Set;Airy Fit Sheet Mask Rice 5Pc Set;Rp 172.500Rp 86.250;null;null;null;null;null;null
1639398302-1534;https://www.sociolla.com/2303-mask?page=19;;https://www.sociolla.com/sleeping-mask/14174-renew-you-hydrafirm-sleeping-mask;Wardah;Renew You Hydrafirm Sleeping Mask;Renew You Hydrafirm Sleeping Mask;Rp109.500;04.06;-75;72;Yes (54);No (2);Maybe (19)
1639397434-1400;https://www.sociolla.com/2303-mask?page=27;;https://www.sociolla.com/sheet-mask/60854-clinical-ampoule-mask-anti-spot;Garnier;Clinical Ampoule Mask Anti-Spot;Clinical Ampoule Mask Anti-Spot;Rp 27.500Rp 23.925;04.09;-511;324;Yes (481);No (2);Maybe (28)
1639399028-1645;https://www.sociolla.com/2303-mask?page=12;;https://www.sociolla.com/sheet-mask/14239-airguard-foilab-mask-whiteful;Mediheal;AirGuard Foilab Mask Whiteful;AirGuard Foilab Mask Whiteful;Rp 79.000Rp 55.300;04.06;-38;35;Yes (25);No (4);Maybe (9)
1639399555-1726;https://www.sociolla.com/2303-mask?page=7;;https://www.sociolla.com/skincare/28385-mugwort-mask;I'm From;Mugwort Mask;Mugwort Mask;Rp 400.000Rp 340.000;04.06;-202;186;Yes (153);No (4);Maybe (45)
1639396900-1319;https://www.sociolla.com/2303-mask?page=33;;https://www.sociolla.com/peel-off-mask/16188-be-golden-bright-peel-off-mask;Clay Botanicals;Be Golden Bright Peel Off Mask;Be Golden Bright Peel Off Mask;Rp105.000;02.03;-5;0;Yes (0);No (5);Maybe (0)
1639397961-1479;https://www.sociolla.com/2303-mask?page=22;;https://www.sociolla.com/sheet-mask/60281-total-solution-essential-sheet-mask-collagen;PRETTY SKIN;TOTAL SOLUTION ESSENTIAL SHEET MASK #COLLAGEN;TOTAL SOLUTION ESSENTIAL SHEET MASK #COLLAGEN;Rp 9.700Rp 9.215;04.03;-3;1;Yes (3);No (0);Maybe (0)
1639398487-1560;https://www.sociolla.com/2303-mask?page=17;;https://www.sociolla.com/sheet-mask/27144-aloe-99-soothing-gel-jelly-mask-sheet;Holika Holika;Aloe 99% Soothing Gel Jelly Mask Sheet;Aloe 99% Soothing Gel Jelly Mask Sheet;Rp 30.000Rp 24.000;04.06;-3;2;Yes (2);No (0);Maybe (1)
1639397064-1346;https://www.sociolla.com/2303-mask?page=31;;https://www.sociolla.com/clay-mask/26453-my-orchard-tu-drawing-mask;Frudia;My Orchard TU Drawing mask;My Orchard TU Drawing mask;Rp29.000;03.03;-2;1;Yes (1);No (1);Maybe (0)
1639396666-1282;https://www.sociolla.com/2303-mask?page=35;;https://www.sociolla.com/sleeping-mask/14400-white-aqua-brightening-sleeping-mask;Pixy;White Aqua Brightening Sleeping Mask;White Aqua Brightening Sleeping Mask;Rp80.000;04.06;-104;89;Yes (78);No (8);Maybe (18)
1639397611-1423;https://www.sociolla.com/2303-mask?page=26;;https://www.sociolla.com/clay-mask/16561-milk-and-oat-clay-mask;Everwhite;Milk and Oat Clay Mask;Milk and Oat Clay Mask;Rp 106.700Rp 71.489;04.04;-65;54;Yes (35);No (8);Maybe (22)
1639396233-1212;https://www.sociolla.com/2303-mask?page=39;;https://www.sociolla.com/sheet-mask/10909-mediu-amino-moisture-mask;Leaders;Mediu Amino Moisture Mask;Mediu Amino Moisture Mask;;04.02;-10;8;Yes (4);No (3);Maybe (3)
1639397715-1439;https://www.sociolla.com/2303-mask?page=25;;https://www.sociolla.com/sheet-mask/55134-cica-daily-soothing-mask;VT Cosmetics;Cica Daily Soothing Mask;Cica Daily Soothing Mask;Rp329.000;04.07;-3;3;Yes (2);No (0);Maybe (1)
1639399339-1693;https://www.sociolla.com/2303-mask?page=9;;https://www.sociolla.com/sheet-mask/11741-diamond-brightening-ampoule-mask;SNP;Diamond Brightening Ampoule Mask;Diamond Brightening Ampoule Mask;Rp 39.000Rp 33.150;04.06;-112;109;Yes (89);No (3);Maybe (20)
1639398741-1597;https://www.sociolla.com/2303-mask?page=15;;https://www.sociolla.com/sheet-mask/11088-airy-fit-sheet-mask-rice-and-honey-10pc-set;Missha;Airy Fit Sheet Mask Rice & Honey 10Pc Set;Airy Fit Sheet Mask Rice & Honey 10Pc Set;Rp 345.000Rp 172.500;null;null;null;null;null;null
1639396713-1289;https://www.sociolla.com/2303-mask?page=34;;https://www.sociolla.com/clay-mask/16706-c-defense-waterclay-mask;Wardah;C-Defense Waterclay Mask;C-Defense Waterclay Mask;Rp42.000;04.04;-205;176;Yes (122);No (28);Maybe (55)
